BIC2,BIC3,BIC4,,,BIC7,BIC8,BIC9,BIC10,BIC11,BIC12,BIC13,,,,,,BIC19,,,,,,BIC25,,,,BIC29,,,,,,,,,,,,BIC41,,,,BIC45,,,,,,,,BIC53,,,,BIC57,,,,BIC61,,,,BIC65,BIC66,BIC67,BIC68,,,BIC71,BIC72,BIC73,BIC74,BIC75,BIC76,BIC77,,,,,BIC82,,,,,,,BIC89,,,,BIC93,,,,,,,,,,,,,,,,BIC109,,,,,,,,,,,,,,,,,,,,GLCM1,GLCM2,GLCM3,GLCM4,GLCM5,GLCM6,GLCM7,GLCM8,GLCM9,GLCM10,GLCM11,GLCM12,GLCM13,GLCM14,GLCM15,GLCM16,GLCM17,GLCM18,GLCM19,GLCM20,GLCM21,GLCM22,GLCM23,GLCM24,GLCM25,GLCM26,GLCM27,GLCM28,GLCM29,GLCM30,GLCM31,GLCM32,GLCM33,GLCM34,GLCM35,GLCM36,MFCC1,MFCC2,MFCC3,MFCC4,MFCC5,MFCC6,MFCC7,MFCC8,MFCC9,MFCC10,MFCC11,MFCC12,MFCC13,MFCC14,MFCC15,MFCC16,GFCC1,GFCC2,GFCC3,GFCC4,GFCC5,GFCC6,GFCC7,GFCC8,GFCC9,GFCC10,GFCC11,GFCC12,GFCC13,GFCC14,GFCC15,GFCC16,,LPC2,LPC3,LPC4,LPC5,LPC6,LPC7,LPC8,LPC9,LPC10,LPC11,MEL1,MEL2,MEL3,MEL4,MEL5,MEL6,MEL7,MEL8,MEL9,MEL10,MEL11,MEL12,MEL13,MEL14,MEL15,MEL16,ASA,BGN,SNR,AA,NAA,Ht,Hs,H,A,B,NDSI,ACI,H',M,MBA,TARGET_
-3.50E-09,-0.081612643,-0.049652625,,,-0.252415174,-0.168303015,1.800206326,-0.649364711,-0.50653579,-0.038313365,-0.491002648,,,,,,-0.020956487,,,,,,-0.021717592,,,,-0.21126779,,,,,,,,,,,,-0.034219469,,,,-0.118193278,,,,,,,,-0.020960345,,,,-0.045638228,,,,-0.04607408,,,,-0.020957118,-0.021600804,-0.149257253,-0.125665759,,,-0.066085454,-0.604916733,2.64852146,-0.476728686,-0.634083763,-0.021605866,-0.427967436,,,,,-0.021569177,,,,,,,-0.020956487,,,,-0.069839466,,,,,,,,,,,,,,,,-0.040886338,,,,,,,,,,,,,,,,,,,,0.367943874,0.982218282,1.134871959,0.67979093,1.228219278,0.712779868,0.305697861,1.031335984,-0.133585838,0.742179253,1.202181874,0.777817952,0.293535764,1.05368696,-1.145986604,0.734156624,1.248635124,0.689735549,0.387292988,0.953588266,1.21922939,0.782695456,1.230434866,0.652408075,0.359307519,0.947316111,-0.064888171,0.840537078,1.240947432,0.672564656,0.362920083,0.949977338,0.152580399,0.800052251,1.216044176,0.59629943,2.218176347,-1.856920964,1.688829064,-0.272449192,-0.014075395,-1.187025523,-0.295675357,0.287178626,0.060199531,-0.120035695,-0.584554025,-0.894545578,-0.461444525,-0.613555658,0.311223717,0.793460108,2.071912537,-0.500444426,0.66933252,-0.34333684,-0.64948319,-0.319299057,-0.146121379,-0.017521208,0.691562824,0.015887462,1.294117955,0.199257704,0.362241059,-0.445700308,-0.144509015,-0.220395562,,0.159521689,0.054882158,-0.015076758,-0.005497236,0.00468584,-0.026542642,0.027650143,-0.003203143,-0.027462997,-0.144180305,0.391393388,0.770620516,1.00224198,1.21325906,1.250902901,1.245943687,1.154678154,1.170699546,1.467674934,0.754483561,0.973713203,0.564085277,0.168660079,0.557473603,1.611483156,3.994314704,1.216680647,0.973535635,0.069448763,-0.661775775,2.604247749,0.761536271,-0.41538848,0.008453779,-0.778671043,1.693736441,0.930719971,0.024236586,-1.170152009,1.125308445,0.361136606,0
-3.50E-09,-0.081612643,-0.049652625,,,-0.252415174,-0.168303015,1.800206326,-0.649364711,-0.50653579,-0.038313365,-0.491002648,,,,,,-0.020956487,,,,,,-0.021717592,,,,-0.21126779,,,,,,,,,,,,-0.034219469,,,,-0.118193278,,,,,,,,-0.020960345,,,,-0.045638228,,,,-0.04607408,,,,-0.020957118,-0.021600804,-0.149257253,-0.125665759,,,-0.066085454,-0.604916733,1.882316882,0.244758532,-0.634083763,-0.021605866,-0.427967436,,,,,-0.021569177,,,,,,,-0.020956487,,,,-0.069839466,,,,,,,,,,,,,,,,-0.040886338,,,,,,,,,,,,,,,,,,,,-0.142447963,1.223020776,0.671412103,-0.125978954,0.388961359,-0.293448853,-0.1224907,1.234919199,-0.98988624,-0.093979995,0.32976425,-0.229832236,-0.117387837,1.253331374,-1.279666298,-0.030911858,0.254845116,-0.222214867,-0.149090862,1.202246155,1.362618585,-0.112079679,0.43114048,-0.317863798,-0.138585604,1.197254548,0.887750808,-0.107470143,0.429222907,-0.321724438,-0.138197354,1.189658768,0.632823543,-0.106870368,0.451255664,-0.322400348,-0.307895796,0.027081369,0.613716574,0.946109837,0.629813073,0.222967331,0.806546321,-0.400973842,-0.134719295,-0.452723947,-0.290992974,-0.481289079,0.285717664,0.127148763,0.469041474,0.24596555,-0.349233133,0.076464701,0.180661374,-0.111262391,0.191191602,0.187404924,-0.119252243,0.082169457,-0.144016113,-0.174012412,-0.204701152,-0.217596294,0.016240809,-0.105141376,0.156549765,0.072530631,,-0.213351784,0.014210269,0.060726244,-0.026645293,0.04596723,-0.010025037,0.034133602,0.039585793,-0.016648303,-0.063814939,0.795279872,0.805325491,0.733286465,0.733442958,0.624256757,0.509300757,0.330657514,0.460383674,0.071456901,-0.558425033,-0.562854038,-0.506611363,-0.537779075,-0.438699487,-0.155745617,-0.27469299,0.460192538,0.485114816,-0.655755163,1.226579243,-0.199715341,-0.938881331,-0.200747603,-0.638492127,-0.185580456,0.858236581,0.322966325,1.065592033,-0.118122285,0.539328029,-0.378038582,0
-3.50E-09,-0.081612643,-0.049652625,,,-0.252415174,-0.168303015,1.754010847,-0.602015626,-0.50653579,-0.038313365,-0.491002648,,,,,,-0.020956487,,,,,,-0.021717592,,,,-0.21126779,,,,,,,,,,,,-0.034219469,,,,-0.118193278,,,,,,,,-0.020960345,,,,-0.045638228,,,,-0.04607408,,,,-0.020957118,-0.021600804,-0.149257253,-0.125665759,,,-0.066085454,-0.604916733,-0.374394657,2.369763493,-0.634083763,-0.021605866,-0.427967436,,,,,-0.021569177,,,,,,,-0.020956487,,,,-0.069839466,,,,,,,,,,,,,,,,-0.040886338,,,,,,,,,,,,,,,,,,,,-0.065889188,1.760772059,0.625664273,-0.049238965,0.943917815,0.005275299,-0.06896713,1.760306973,-1.466437124,0.098979832,0.879064235,0.0139541,-0.062598024,1.762188543,-1.762525524,0.224110969,0.838981228,0.009917966,-0.072464598,1.75761862,1.849838914,-0.034273146,0.939987047,-0.083120603,-0.0599709,1.746207187,1.298298173,-0.025034733,0.901719273,-0.049096783,-0.059073548,1.743397248,0.961386992,-0.024422857,0.922268272,-0.048402169,0.386889874,0.344955738,0.484345271,0.238895743,0.33740761,0.117906166,0.643899899,-0.315173607,-0.281422827,-0.932516431,-0.764783642,-0.79958167,0.136485321,0.024765783,0.087155091,-0.513970344,0.344438272,0.335963074,-0.077693634,-0.027566627,-0.216863067,-0.007126062,-0.002634806,0.118229117,0.255375742,0.240593438,0.050656551,0.125393365,0.012609429,0.137560554,0.113446502,-0.191838963,,-0.109852318,0.068852277,0.061563146,-0.032254228,-0.01111759,0.020867726,0.026549873,-0.009349219,-0.041925345,-0.036296333,0.162993035,0.572729151,0.811950718,1.038483193,1.09714008,1.099384787,0.999565049,0.788129939,0.525034605,0.068481585,-0.072815065,0.328084698,0.103540484,0.014110052,0.134060492,0.233069626,0.496068202,0.523685069,-0.655755163,1.226579243,-0.199715341,-1.158469064,0.643466619,-0.281590874,0.977014929,-1.301349638,-1.621714256,1.409021204,1.394950784,0.573226476,-0.545160841,0
-3.50E-09,-0.081612643,-0.049652625,,,-0.252415174,-0.168303015,0.367742255,0.818871239,-0.50653579,-0.038313365,-0.491002648,,,,,,-0.020956487,,,,,,-0.021717592,,,,-0.21126779,,,,,,,,,,,,-0.034219469,,,,-0.118193278,,,,,,,,-0.020960345,,,,-0.045638228,,,,-0.04607408,,,,-0.020957118,-0.021600804,-0.149257253,-0.125665759,,,-0.066085454,-0.604916733,-0.416296853,2.409220186,-0.634083763,-0.021605866,-0.427967436,,,,,-0.021569177,,,,,,,-0.020956487,,,,-0.069839466,,,,,,,,,,,,,,,,-0.040886338,,,,,,,,,,,,,,,,,,,,-0.040369596,1.847878676,0.67717212,0.027501024,1.048540754,0.036719946,-0.042205345,1.84312254,-1.532742595,0.163299774,1.015767852,0.143973479,-0.062598024,1.847300746,-1.761978355,0.394126187,0.955302705,0.076241633,-0.04692251,1.852797508,1.817929769,0.004630121,1.009784585,-0.020522418,-0.0599709,1.843878761,1.247352751,0.016182973,1.022872187,0.031087821,-0.059073548,1.838406103,0.952280318,0.016800898,1.036379573,-0.032284629,0.631040809,0.415051927,0.431696726,-0.002559886,0.360102466,0.054377069,-0.024829212,-0.661962648,-0.169069322,-0.659009209,-0.534996948,-0.929433162,-0.141320076,-0.340644455,-0.229386235,-0.420994585,0.56941894,0.074486857,-0.272891024,-0.636052941,0.156037849,0.250266276,0.335063866,-0.344790773,-0.547605459,-0.348670476,0.027641643,-0.047203357,-0.038319124,-0.462156761,-0.426837852,0.091956009,,-0.02817104,0.081655729,0.026047922,0.001248802,-0.017344907,-0.002690038,0.027842426,-0.030891164,-0.022058382,-0.044997988,0.048365885,0.490177723,0.732045189,0.999883082,1.095107863,1.112841547,1.067915387,1.13716972,0.769115537,0.306736388,0.241978249,0.318209284,0.331136308,0.304290906,0.183101426,0.443695461,0.55874216,0.565426921,-0.270372908,-0.848081769,-0.28468392,-0.689349725,-0.327387307,-0.595610833,-0.488521281,0.735488667,0.590897245,0.971236233,-0.338008476,0.611500046,-0.448147704,0
-3.50E-09,-0.081612643,-0.049652625,,,-0.252415174,-0.168303015,1.184003696,-0.017774103,-0.50653579,-0.038313365,-0.491002648,,,,,,-0.020956487,,,,,,-0.021717592,,,,-0.21126779,,,,,,,,,,,,-0.034219469,,,,-0.118193278,,,,,,,,-0.020960345,,,,-0.045638228,,,,-0.04607408,,,,-0.020957118,-0.021600804,-0.149257253,-0.125665759,,,-0.066085454,-0.604916733,-0.416296853,2.409220186,-0.634083763,-0.021605866,-0.427967436,,,,,-0.021569177,,,,,,,-0.020956487,,,,-0.069839466,,,,,,,,,,,,,,,,-0.040886338,,,,,,,,,,,,,,,,,,,,-0.040369596,1.738903261,0.755818511,0.027501024,1.005326931,0.209665508,-0.042205345,1.732297609,-1.413930416,0.227619716,0.91883256,0.176478324,-0.035203117,1.734100306,-1.595614376,0.394126187,0.866797233,0.159146216,-0.021380422,1.72110498,1.531858227,0.043533388,1.023293786,0.198571231,-0.033765999,1.715729817,1.115155753,0.057400678,1.025295245,0.127309346,-0.032698947,1.710887905,0.822242366,0.058024653,1.024240073,0.161125851,0.996621642,0.827303311,0.605119268,-0.425190688,-0.291391327,-0.694254859,-0.651053428,-0.956519102,-0.529593452,-0.504589701,0.312124067,0.010284785,0.119700927,-0.756848297,-0.882672782,-0.886202008,0.951371689,0.173966685,-0.002356426,0.336533491,0.221699484,-0.129934012,-0.220801639,-0.082642926,-0.133595707,-0.161865655,-0.371352538,-0.114242342,0.016189812,-0.14808961,-0.737772925,-0.236342259,,0.064096934,0.135994822,-0.006294066,-0.016354958,-0.028889547,0.003456652,0.02076744,-0.037682686,-0.041541396,-0.051201895,-0.073474068,0.324110116,0.625370744,0.948139565,1.068988256,1.208975826,1.32951886,1.44831976,1.464807722,1.371855051,0.839773965,0.574958554,0.597643799,0.291352739,0.255578765,0.63188533,0.761093648,0.739590712,1.34830467,-0.848081769,-0.28468392,-1.63912478,-0.343665265,-1.046269758,-0.637437676,0.765484659,0.757659773,0.885454203,-0.065386327,0.795804095,-0.302231291,0
-3.50E-09,-0.081612643,-0.049652625,,,-0.252415174,-0.168303015,-0.279176844,1.481945377,-0.50653579,-0.038313365,-0.491002648,,,,,,-0.020956487,,,,,,-0.021717592,,,,-0.21126779,,,,,,,,,,,,-0.034219469,,,,-0.118193278,,,,,,,,-0.020960345,,,,-0.045638228,,,,-0.04607408,,,,-0.020957118,-0.021600804,-0.149257253,-0.125665759,,,-0.066085454,-0.604916733,-0.416296853,2.409220186,-0.634083763,-0.021605866,-0.427967436,,,,,-0.021569177,,,,,,,-0.020956487,,,,-0.069839466,,,,,,,,,,,,,,,,-0.040886338,,,,,,,,,,,,,,,,,,,,0.010669588,1.994571623,0.758421595,0.142611007,1.232768102,0.193943184,0.011318225,1.965708979,-1.659808829,0.356259601,1.261834361,0.208983169,-0.00780821,1.949847028,-1.829085707,0.649149015,1.241048941,0.175727133,0.004161667,2.001894871,1.91981688,0.121339921,1.198913397,0.120323499,-0.007561098,1.992185966,1.272032839,0.139836088,1.197332383,0.063161663,-0.006324345,1.982118993,0.951342866,0.140472164,1.267030077,0.161125851,0.765291844,0.421109795,0.59526498,-0.108815778,0.216540394,-0.225803343,-0.328868953,-0.777527932,-0.66063729,-0.877811824,-0.260392214,-0.390452184,0.319309776,0.01691928,-0.184571687,-0.563764218,0.734042283,0.449918101,0.256698621,0.007739502,-0.147938914,-0.830439727,-0.90325739,-0.775607458,-0.626938808,-0.113630611,0.650134402,0.924097327,0.322645072,0.421114835,-0.035966756,-0.20490154,,-0.002080886,0.107761839,0.02044515,-0.024532014,-0.017794605,-0.00630756,0.034860136,-0.028174635,-0.042423183,-0.03627191,-0.01435348,0.364147298,0.640679806,0.936266478,1.067704094,1.187248765,1.217058636,1.160759977,1.152522669,0.771646791,0.219109367,0.38332278,0.372410563,0.256315707,0.229234319,0.620946885,0.576514308,0.577728752,0.195452394,-0.848081769,-0.28468392,-1.036579917,-0.451975464,-0.828047949,-0.426718533,0.149566049,0.430998381,1.027982548,0.556579156,0.63988494,-0.439564385,0
-3.50E-09,-0.081612643,-0.049652625,,,-0.252415174,-0.168303015,-0.664604194,1.876997723,-0.50653579,-0.038313365,-0.491002648,,,,,,-0.020956487,,,,,,-0.021717592,,,,-0.21126779,,,,,,,,,,,,-0.034219469,,,,-0.118193278,,,,,,,,-0.020960345,,,,-0.045638228,,,,-0.04607408,,,,-0.020957118,-0.021600804,-0.149257253,-0.125665759,,,-0.066085454,-0.604916733,-0.416296853,2.409220186,-0.634083763,-0.021605866,-0.427967436,,,,,-0.021569177,,,,,,,-0.020956487,,,,-0.069839466,,,,,,,,,,,,,,,,-0.040886338,,,,,,,,,,,,,,,,,,,,-0.014850004,1.924419468,0.715498389,0.180981002,1.166810162,0.17822086,-0.01544356,1.895867447,-1.549208699,0.420579543,1.239464678,0.176478324,-0.00780821,1.878778944,-1.850717158,0.734156624,1.20817548,0.159146216,-0.021380422,1.937509153,1.840548909,0.160243188,1.176398062,0.026426221,-0.007561098,1.92607167,1.362795885,0.181053794,1.146448159,0.095235505,-0.006324345,1.918899717,0.935138343,0.18169592,1.203904676,0.064420611,0.75855826,0.206822603,0.471659643,-0.109761807,0.366562903,0.013031023,-0.103850201,-0.757273106,-0.848322537,-1.277967118,-0.768790971,-0.853205604,0.079573074,0.097137116,0.24394498,0.08268794,0.688906024,0.229302369,-0.125042118,0.049245573,0.236993189,0.100924114,-0.336612416,-0.372364753,-0.196069665,-0.04756773,-0.197298503,-0.120536945,-0.32870693,-0.204633184,0.172197937,0.292416353,,-0.004655408,0.107258317,0.037119966,-0.056729767,-0.000806106,0.002354547,0.01643639,-0.009021584,-0.060049152,-0.049178763,-0.203777247,0.211977326,0.51559938,0.771615436,0.940409973,1.07670199,1.159139428,1.339464608,1.104477839,0.273183956,0.079443018,0.411515307,0.438253135,0.321677803,0.308095582,0.71732674,0.530518349,0.550207589,-0.655755163,1.226579243,-0.199715341,-1.175943704,0.53446295,-0.351705586,0.709448384,-0.525685241,-0.855370786,1.386917353,1.176800526,0.606742455,-0.516381478,0
-3.50E-09,-0.081612643,-0.049652625,,,-0.170627795,-0.168303015,-0.664604194,-0.649364711,2.301442555,-0.038313365,-0.491002648,,,,,,-0.020956487,,,,,,-0.021717592,,,,-0.21126779,,,,,,,,,,,,-0.034219469,,,,-0.118193278,,,,,,,,-0.020960345,,,,-0.045638228,,,,-0.04607408,,,,-0.020957118,-0.021600804,-0.149257253,-0.125665759,,,-0.066085454,1.8151375,-0.416296853,-0.476728686,-0.634083763,-0.021605866,-0.427967436,,,,,-0.021569177,,,,,,,-0.020956487,,,,-0.069839466,,,,,,,,,,,,,,,,-0.040886338,,,,,,,,,,,,,,,,,,,,-0.167967555,-0.935970155,0.193773742,-0.241088938,-0.77098861,-0.372060472,-0.17601427,-0.943142326,0.687010002,-0.351259763,-0.716639796,-0.294841925,-0.172177651,-0.94154648,0.265699664,-0.370942294,-0.698485247,-0.288538534,-0.17463295,-0.919561467,0.447805618,-0.22878948,-0.825215202,-0.427410623,-0.164790505,-0.933641612,-0.545030898,-0.231123259,-0.796844585,-0.417945963,-0.164571956,-0.923328577,-0.02797281,-0.230541634,-0.808824456,-0.419105588,-1.101395026,-1.344202445,-0.117361719,0.620161847,-0.020177966,-0.030761034,0.696255129,0.644978621,0.853461837,-0.173180277,-0.791810988,-1.613007316,-0.782551065,-0.707504596,0.924857678,1.651036007,-0.992773436,-0.588306329,1.168974642,-1.519259023,-1.658281034,0.90334053,-0.784053375,-0.976624461,2.401703553,-2.352305329,4.525426951,-1.141732445,-1.051197701,-0.853439972,-3.240429216,3.027865345,,0.377065365,0.283061175,-0.295514424,0.09303725,0.239232467,-0.147502032,-0.17711077,0.241750227,0.167692707,-0.822087378,-1.337178544,-1.168282026,-1.109154733,-1.264619001,-1.184005484,-1.193157806,-1.124826898,-0.663267756,-1.698069589,-1.701720528,-0.730166807,-0.828703522,-1.162831645,-0.681155218,-0.24737473,-0.291854195,-0.234820617,-0.223642002,-0.655755163,1.226579243,-0.199715341,-0.936522782,-0.013293847,-0.528541452,-0.609043436,-1.538284518,-0.044188326,-0.133193393,-1.202185918,-0.185132207,-0.539318414,0
-3.50E-09,-0.081612643,-0.049652625,,,-0.252415174,-0.168303015,-0.664584476,1.876977512,-0.50653579,-0.038313365,-0.491002648,,,,,,-0.020956487,,,,,,-0.021717592,,,,-0.21126779,,,,,,,,,,,,-0.034219469,,,,-0.118193278,,,,,,,,-0.020960345,,,,-0.045638228,,,,-0.04607408,,,,-0.020957118,-0.021600804,-0.149257253,-0.125665759,,,-0.066085454,-0.604916733,-0.416296853,-0.476728686,1.807058623,-0.021605866,-0.427967436,,,,,-0.021569177,,,,,,,-0.020956487,,,,-0.069839466,,,,,,,,,,,,,,,,-0.040886338,,,,,,,,,,,,,,,,,,,,-0.142447963,0.229464772,-0.698530482,-0.202718943,-0.038628041,-0.309171177,-0.149252485,0.255318962,-0.462634877,-0.286939821,-0.072890039,-0.213579813,-0.144782744,0.275085853,0.213256466,-0.285934685,-0.139636413,-0.222214867,-0.149090862,0.2326873,0.251756236,-0.189886213,-0.070951486,-0.349162891,-0.138585604,0.229298057,0.073836306,-0.231123259,-0.079619333,-0.35379828,-0.138197354,0.227694108,-0.04996275,-0.230541634,-0.053747544,-0.338517888,-0.632717355,0.3574808,0.534482296,0.900506426,-0.462259822,-1.578120727,-0.486906556,-1.062345814,-0.020064199,0.379331076,1.071681679,0.671452547,0.927241887,0.00665453,-0.141237551,-0.336865583,-0.592286374,0.168816973,0.529217945,0.189269287,0.212275493,-0.840480538,-0.242528251,0.221998685,-0.961991087,-1.384867412,-0.746345893,-0.175343863,0.19357564,-1.392231852,-0.565321398,-0.805648319,,0.064038669,0.037261967,-0.093277592,-0.036611443,0.028316307,0.051264215,0.061609547,-0.000242793,-0.041177867,-0.052399735,-0.146928768,-0.139270395,-0.212013621,-0.411341486,-0.400716505,-0.206940399,0.035040046,-0.073342645,0.720258753,0.593833482,0.008323963,-0.855622911,-1.017939257,-0.774354775,-0.264014233,-0.855354265,0.058916085,0.042691518,2.956453616,-0.841657424,-0.199715341,-2.831141209,-1.22618183,-1.872680197,-0.719677719,0.960337669,0.860415288,0.326486903,0.199155162,0.087841298,-0.285425297,0
-3.50E-09,-0.081612643,-0.049652625,,,-0.252415174,-0.168303015,-0.664604194,0.628618464,0.903025838,-0.038313365,-0.491002648,,,,,,-0.020956487,,,,,,-0.021717592,,,,-0.21126779,,,,,,,,,,,,-0.034219469,,,,-0.118193278,,,,,,,,-0.020960345,,,,-0.045638228,,,,-0.04607408,,,,-0.020957118,-0.021600804,-0.149257253,-0.125665759,,,-0.066085454,-0.567103385,-0.416296853,-0.476728686,1.768915773,-0.021605866,-0.427967436,,,,,-0.021569177,,,,,,,-0.020956487,,,,-0.069839466,,,,,,,,,,,,,,,,-0.040886338,,,,,,,,,,,,,,,,,,,,-0.167967555,-0.849723548,-0.791355376,-0.241088938,-0.707305082,-0.356338148,-0.149252485,-0.852809095,-0.031911848,-0.351259763,-0.664443869,-0.26233708,-0.172177651,-0.849654357,-0.007484045,-0.370942294,-0.663083059,-0.271957617,-0.17463295,-0.831807018,1.215796127,-0.22878948,-0.757669197,-0.411761076,-0.164790505,-0.832970297,0.878892086,-0.231123259,-0.750806478,-0.401909042,-0.164571956,-0.840675671,0.209309622,-0.230541634,-0.733559555,-0.402988048,-0.83300937,-0.434921422,-0.010594186,0.390993788,-0.556199241,-0.91215006,0.584613445,0.502535543,1.11985843,0.445551432,0.626249977,-0.322053975,-0.610910506,-1.789214151,-0.949184096,-0.545077308,-0.898087399,-1.015211526,0.753080165,-0.279702478,-0.262826438,-0.274836335,-0.048035623,0.577910188,-0.041759066,-0.221227002,-0.606484699,-0.217210809,-0.738733348,-1.020369745,0.203695114,-0.460561342,,0.084077452,-0.071007917,-0.061603483,-0.04524334,0.032061214,0.09630102,0.071119711,-0.061292304,-0.034208123,0.014348677,-0.743532815,-0.801493986,-0.810220538,-0.933618966,-0.824664527,-0.72289756,-0.643537882,-0.693618477,-1.328110441,-0.518478456,0.182887117,-0.641701508,-0.924287881,-0.723220715,-0.220617308,-0.644242277,-0.106383146,-0.060095378,-0.655755163,1.226579243,-0.199715341,-0.618867196,0.036375733,-0.335091827,-0.625864946,0.839653111,0.749151003,-0.009278757,-0.103117058,-0.039587764,-0.546675544,0
